OfficeID,OfficeParentID,OfficeName,E_mail,OrgID,ProvinceID,IsDelete,IsDisable,CreateDate,CreateBy
2,,กลุ่มสนับสนุนการตรวจราชการ 1,,1,10,False,False,2018-12-17 08:45:28.507000000,
4,2,สำนักงานอุตสาหกรรมจังหวัดเพชรบุรี,moi_phetchaburi@industry.go.th,9,76,False,False,2018-12-17 08:45:28.550000000,
5,4,กลุ่มนโยบายและแผน,moi_phetchaburi@industry.go.th,9,76,False,False,2018-12-17 08:45:28.613000000,
6,4,กลุ่มส่งเสริมและพัฒนาอุตสาหกรรม,moi_phetchaburi@industry.go.th,9,76,False,False,2018-12-17 08:45:28.693000000,
7,4,กลุ่มโรงงานอุตสาหกรรม,moi_phetchaburi@industry.go.th,9,76,False,False,2018-12-17 08:45:28.740000000,
8,2,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,moi_prachuapkhirikhan@industry.go.th,9,77,False,False,2018-12-17 08:45:28.770000000,
9,8,กลุ่มนโยบายและแผน,moi_prachuapkhirikhan@industry.go.th,9,77,False,False,2018-12-17 08:45:28.817000000,
10,8,กลุ่มส่งเสริมและพัฒนาอุตสาหกรรม,moi_prachuapkhirikhan@industry.go.th,9,77,False,False,2018-12-17 08:45:28.863000000,
11,8,กลุ่มโรงงานอุตสาหกรรม,moi_prachuapkhirikhan@industry.go.th,9,77,False,False,2018-12-17 08:45:28.960000000,
12,8,กลุ่มอุตสาหกรรมพื้นฐานและการเหมืองแร่,moi_prachuapkhirikhan@industry.go.th,9,77,False,False,2018-12-17 08:45:29.007000000,
13,2,สำนักงานอุตสาหกรรมจังหวัดสมุทรสงคราม,moi_samutsongkhram@industry.go.th,9,75,False,False,2018-12-17 08:45:29.053000000,
14,13,กลุ่มนโยบายและแผน,moi_samutsongkhram@industry.go.th,9,75,False,False,2018-12-17 08:45:29.083000000,
15,13,กลุ่มส่งเสริมและพัฒนาอุตสาหกรรม,moi_samutsongkhram@industry.go.th,9,75,False,False,2018-12-17 08:45:29.147000000,
16,13,กลุ่มโรงงานอุตสาหกรรม,moi_samutsongkhram@industry.go.th,9,75,False,False,2018-12-17 08:45:29.193000000,
17,2,สำนักงานอุตสาหกรรมจังหวัดสมุทรสาคร,moi_samutsakhon@industry.go.th,9,74,False,False,2018-12-17 08:45:29.240000000,
18,17,กลุ่มนโยบายและแผน,moi_samutsakhon@industry.go.th,9,74,False,False,2018-12-17 08:45:29.287000000,
19,17,กลุ่มส่งเสริมและพัฒนาอุตสาหกรรม,moi_samutsakhon@industry.go.th,9,74,False,False,2018-12-17 08:45:29.317000000,
20,17,กลุ่มโรงงานอุตสาหกรรม,moi_samutsakhon@industry.go.th,9,74,False,False,2018-12-17 08:45:29.363000000,
21,2,สำนักงานอุตสาหกรรมจังหวัดชลบุรี,moi_chonburi@industry.go.th,9,20,False,False,2018-12-17 08:45:29.410000000,
22,21,กลุ่มนโยบายและแผน,moi_chonburi@industry.go.th,9,20,False,False,2018-12-17 08:45:29.460000000,
23,21,กลุ่มส่งเสริมและพัฒนาอุตสาหกรรม,moi_chonburi@industry.go.th,9,20,False,False,2018-12-17 08:45:29.507000000,
24,21,กลุ่มโรงงานอุตสาหกรรม,moi_chonburi@industry.go.th,9,20,False,False,2018-12-17 08:45:29.537000000,
25,21,กลุ่มอุตสาหกรรมพื้นฐานและการเหมืองแร่,moi_chonburi@industry.go.th,9,20,False,False,2018-12-17 08:45:29.583000000,
26,2,สำนักงานอุตสาหกรรมจังหวัดฉะเชิงเทรา,moi_chachoengsao@industry.go.th,9,24,False,False,2018-12-17 08:45:29.630000000,
27,26,กลุ่มนโยบายและแผน,moi_chachoengsao@industry.go.th,9,24,False,False,2018-12-17 08:45:29.677000000,
